Date,Event Link,Event,Location,Venue,Attendance
2023-05-13,http://ufcstats.com/event-details/901cddcbfa079097,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA",Spectrum Center,18712
2023-05-06,http://ufcstats.com/event-details/3c6976f8182d9527,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",Prudential Center,17559
2023-04-29,http://ufcstats.com/event-details/51b1e2fd9872005b,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",UFC Apex,
2023-04-22,http://ufcstats.com/event-details/6fb1ba67bef41b37,UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA",UFC Apex,
2023-04-15,http://ufcstats.com/event-details/15b1b21cd743d652,UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA",T-Mobile Center,16234
2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a,UFC 287: Pereira vs. Adesanya 2,"Miami, Florida, USA",Kaseya Center,19032
2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d,UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA",Frost Bank Center,16076
2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318,UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom",The O2 Arena,17588
2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3,UFC Fight Night: Yan vs. Dvalishvili,"Las Vegas, Nevada, USA",The Theater at Virgin Hotels,2361
2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb,UFC 285: Jones vs. Gane,"Las Vegas, Nevada, USA",T-Mobile Arena,19471
2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27,UFC Fight Night: Muniz vs. Allen,"Las Vegas, Nevada, USA",UFC Apex,
2023-02-18,http://ufcstats.com/event-details/f21a3d68fb9df387,UFC Fight Night: Andrade vs. Blanchfield,"Las Vegas, Nevada, USA",UFC Apex,
2023-02-11,http://ufcstats.com/event-details/01dd4cdc2446f665,UFC 284: Makhachev vs. Volkanovski,"Perth, Western Australia, Australia",RAC Arena,14124
2023-02-04,http://ufcstats.com/event-details/d26394fc0e8e880a,UFC Fight Night: Lewis vs. Spivac,"Las Vegas, Nevada, USA",UFC Apex,
2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52,UFC 283: Teixeira vs. Hill,"Rio de Janeiro, Rio de Janeiro, Brazil",Jeunesse Arena,13604
2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,UFC Fight Night: Strickland vs. Imavov,"Las Vegas, Nevada, USA",UFC Apex,
2022-12-17,http://ufcstats.com/event-details/56ec58954158966a,UFC Fight Night: Cannonier vs. Strickland,"Las Vegas, Nevada, USA",UFC Apex,
2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b,UFC 282: Blachowicz vs. Ankalaev,"Las Vegas, Nevada, USA",T-Mobile Arena,18455
2022-12-03,http://ufcstats.com/event-details/b23388ff8ac6637b,UFC Fight Night: Thompson vs. Holland,"Orlando, Florida, USA",Kia Center,17065
2022-11-19,http://ufcstats.com/event-details/012fc7cd0779c09a,UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA",UFC Apex,
2022-11-12,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",Madison Square Garden,20845
2022-11-05,http://ufcstats.com/event-details/756f45905fb20cb5,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",UFC Apex,
2022-10-29,http://ufcstats.com/event-details/be5aab761c40ef35,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",UFC Apex,
2022-10-22,http://ufcstats.com/event-details/885e7f70dcac0007,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,13400
2022-10-15,http://ufcstats.com/event-details/49c29e57d4e2be6f,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",UFC Apex,
2022-10-01,http://ufcstats.com/event-details/4f670b7972fa0a2e,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",UFC Apex,
2022-09-17,http://ufcstats.com/event-details/8d477c3fbe001f9d,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA",UFC Apex,
2022-09-10,http://ufcstats.com/event-details/93bf96be327fcd98,UFC 279: Diaz vs. Ferguson,"Las Vegas, Nevada, USA",T-Mobile Arena,19125
2022-09-03,http://ufcstats.com/event-details/00a905a4a4a2b071,UFC Fight Night: Gane vs. Tuivasa,"Paris, Ile-de-France, France",Accor Arena,15405
2022-08-20,http://ufcstats.com/event-details/4f853e98886283cf,UFC 278: Usman vs. Edwards,"Salt Lake City, Utah, USA",Vivint Arena,18321
2022-08-13,http://ufcstats.com/event-details/a23e63184c65f5b8,UFC Fight Night: Vera vs. Cruz,"San Diego, California, USA",Pechanga Arena,12804
2022-08-06,http://ufcstats.com/event-details/8f6a18831a120817,UFC Fight Night: Santos vs. Hill,"Las Vegas, Nevada, USA",UFC Apex,
2022-07-30,http://ufcstats.com/event-details/b0a6124751a56bc4,UFC 277: Pena vs. Nunes 2,"Dallas, Texas, USA",American Airlines Center,19442
2022-07-23,http://ufcstats.com/event-details/319c15b8aac5bfde,UFC Fight Night: Blaydes vs. Aspinall,"London, England, United Kingdom",The O2 Arena,17813
2022-07-16,http://ufcstats.com/event-details/8fd76e1b49c00ae2,UFC Fight Night: Ortega vs. Rodriguez,"Elmont, New York, USA",UBS Arena,16979
